StudyID,Are you worried about coronavirus? Why or why not?,Race
36, ,American Indian or Alaska Native
37,"Not really, as a younger person I'm not worried about my immune system and I live in an area where it is not a threat at the moment ",American Indian or Alaska Native
527,No,American Indian or Alaska Native
1877, ,American Indian or Alaska Native
2131,No I'm not worried because I'm healthy,American Indian or Alaska Native
885,"No, the media exaggerates it and I'm not in the at risk areas or demographic","American Indian or Alaska Native, Black or African American "
1337,Not sure ,"American Indian or Alaska Native, Black or African American "
1640,I'm not because peoples fear is only perpetuated by misinformation and lack of care,"American Indian or Alaska Native, Black or African American "
1066,No its more likely to get stuck by lightning,"American Indian or Alaska Native, Black or African American, White or Caucasian"
1067,No. I don't really interact with people at all. My daily interaction is minimal. ,"American Indian or Alaska Native, Black or African American, White or Caucasian"
1137,"No, because like I said it's not in my area and to me the situation is a sham.","American Indian or Alaska Native, Black or African American, White or Caucasian"
1445,Not worried about it because i know to prevent catch it be clean santizie often & sterilize everything i should be fine,"American Indian or Alaska Native, Black or African American, White or Caucasian"
99,No because it's not close to me yet,"American Indian or Alaska Native, White or Caucasian"
278,"No, MERS and SARS were supposed to kill us all and nothing happened.","American Indian or Alaska Native, White or Caucasian"
310,No because if I do get it I can just go to the doctor but those without healthcare are unable to do so and will only perpetuate the spreading,"American Indian or Alaska Native, White or Caucasian"
644,No. I don't think about it and I'm honestly not worried since I live in Nebraska and I doubt I'll be effected,"American Indian or Alaska Native, White or Caucasian"
680,No,"American Indian or Alaska Native, White or Caucasian"
1421,No. It's just like any other sickness or flu or virus in general that's come through our history. We can't change it. We can on do things to prevent it for ourselves. So what is the point of worrying,"American Indian or Alaska Native, White or Caucasian"
1979,Not really because it's not near me,"American Indian or Alaska Native, White or Caucasian"
31,Not really. It doesn't seem like it'd be any worse than the flu for someone our age ,Asian
75,idk,Asian
85,Not particularly. It spreads quickly but flu is more deadly,Asian
125,"No, I think I'm healthy enough and not in a high risk area.",Asian
134,No because really it won't hurt you unless you're immunocompromised ,Asian
152,Not really--it's not super close to me yet and a lot of people say it's less deadly than the flu ,Asian
157,Nope. It's not as bad  as China cause the virus gets weak as it travels further away from its original source ,Asian
168,No. I won't die,Asian
190,"Not particularly, most of the people who have died are those with previous health problems. I'm still young and in decent health so I think I'll be okay",Asian
200,Next ,Asian
298,Not really,Asian
381, ,Asian
472,No because I dont think I'll be seriously ill.,Asian
512,"not really, i'm healthy and the MSM is hyping it up to distract from the election",Asian
525,I am not really worried abt it tbh but mom is. Because I'm more optimistic ,Asian
553,I'm not really personally worried because I have been taking precautions. However I don't like the way it's making people act,Asian
586,"I'm not really worried because I think older and young people are at a higher risk, not really my age group",Asian
610,No I'm not that worried because you just have to take safety precautions ,Asian
638,No because it is highly unlikely if die from it,Asian
654,Because we can't do anything about it ,Asian
834,Not too much ,Asian
846,Not entirely cause I hear that most fatalities are elders with already preexisting medical conditions and 90% of people are recovering ,Asian
878,I am not worried because I have dealt with the flu before and there hasn't been anything big that happened with Covid 19. The only thing I would watch out for is people sneezing and coughing around me.,Asian
882,"No, since it's similar to the flu and - as long as people maintain the same hygiene they would during flu season - is not as deadly as we all assume/are told",Asian
892,"Not really, It's like all the other viruses such as SARS or Ebola, people get worried about it but eventually the cures found",Asian
896,no i believe it will pass like h1n1 or ebola as long as we keep safe practices ,Asian
970,"No, I can't control if I get the virus or not. I will continue to wash my hands with soap and maintain proper hygiene",Asian
62,I guess a lot of people are dying from it,Black or African American
150,"Not really? I'm not sure why, but I'm not afraid of it having a particularly strong effect on me, even before I knew about it only being harshest on people whose immune systems are already compromised. I worry for other people though, yes, because I know people are terrified of it and may do reckless or careless things in response.",Black or African American
159,I am not really sure. I figure if I take the precautions need I should be fine.,Black or African American
184,"Not really, because I know that it is really only killing the ones who have pre existing medical conditions and I'm a fairly healthy 21 year old. ",Black or African American
192,I'm not because there's not really anything i can do to prevent anything,Black or African American
198,"i'm not that worried about the virus at this point just because it hasn't reached my state. I also heard that the media might be hyping it up a bit, And that the virus is only really dangerous to older people and young children",Black or African American
202,I'm a little worried on why it is spreading so rapidly and how many people it has killed,Black or African American
229,"no, it hasn't killed that many people and has been cured in plenty of cases",Black or African American
275,"Not really, it was just like the Ebola virus years ago",Black or African American
295,"No, Hopefully they cure it but I don't care ðŸ˜­ I'm still going home ",Black or African American
428,i am not because it's unlikely i'll get it ,Black or African American
433,I'm not worried. I think it is just hyped up just like Ebola and swine flu,Black or African American
475,I am not because I don't really care ,Black or African American
547,I am not too worried about it because it hasn't really started to spread in the US,Black or African American
616,Not personally. I don't have any friends or family in high danger zones and I doubt that I will be affected.,Black or African American
700,I truly am not. I am not immune compromised and I would have the same shot as getting over it as the flu,Black or African American
705,"No, because I've heard it mainly effects older people, I'm young, I am 21. But I am worried for my granny to catch it, I check on her everyday ",Black or African American
741,No because I am black ,Black or African American
781,e,Black or African American
792,No because I think I'm my immune system is strong enough to fight ,Black or African American
813,I'm not worried about the coronavirus Because I know that my immune system is strong & if I just continue to take precautions by washing my hands & staying away From people who seem sick I will be okay,Black or African American
925,"I am not, because I am young and relatively healthy ",Black or African American
939,I'm not worried about it because it doesn't seem to be impacting people like me.,Black or African American
967,Not at all. There have been so many flus and viruses going around from the past few years that have done no huge damage,Black or African American
969,I am not that worried as the flu is more deadly here at this moment ,Black or African American
982,"I am not worried because I am young and healthy, the virus is tending to affect the older generation more",Black or African American
1076,"No, because I know it's not as bad as the media makes it out to be literally just being a healthy teen keeps me safe from not catching the coronavirus but possibly dying from it.",Black or African American
1182,No because they come and go,Black or African American
1229,im not worried because im fairly healthy,Black or African American
1310,No I'm not worried about the virus because it's no need to be,Black or African American
1367,No not really ask longe as i wash my hands and stay clean. Unless it gets closer to me nope,Black or African American
1385,"No, because there are simple ways of protecting myself from it",Black or African American
1432,"No, because the media is blowing it out of proportion. Also statistics show that most of the cases are older people.",Black or African American
1476,No I'm not because 1. I take care of myself and I am considerate of germs ,Black or African American
1510,"It probably wont kill me but i have older grandparents and baby cousins
",Black or African American
1547,I'm not because I feel like as long as I take precautions I will be fine,Black or African American
1552,"Nope, as a healthcare professional we are trained to handle situations like this, if I'm panicking then it causes my patients to panick. We have to keep educating people on signs and symptoms and proper hand hygiene.",Black or African American
1604,not really,Black or African American
911,No because it's just like any other virus,"Black or African American, White or Caucasian"
1092,"No, most viruses come and go","Black or African American, White or Caucasian"
1294,No it's not very deadly ,"Black or African American, White or Caucasian"
1484,No,"Black or African American, White or Caucasian"
1534,No because it's a virus ,"Black or African American, White or Caucasian"
1584,Not at all. I have a very strong immune system and I've never had the flu. ,"Black or African American, White or Caucasian"
1614,I'm not because I'll probably live,"Black or African American, White or Caucasian"
1685,I'm not worried because I'm generally a healthy person. I think as long as the virus can be contained there isn't much to worry about.,"Black or African American, White or Caucasian"
1697,I'm worried about the fact that it's able to destroy so fast but not as worried about getting it as I should be,"Black or African American, White or Caucasian"
2098,"I'm not worried about it. There was one case in my town but I'm still not worried. If I practice good hygiene and avoid those who are sick, then I shouldn't have to worry about contracting it.","Black or African American, White or Caucasian"
2183,"not really, political figures aren't worried so i'm not ","Black or African American, White or Caucasian"
550,i'm not due to the relatively low fatality rate,Black or African American/White or Caucasian
1141,No because I have a healthy immune system ,Native Hawaiian or Other Pacific Islander
1740,"not really, it's so similar to the flu, if i get it, i get it Â¯\_(ãƒ„)_/Â¯ ",Native Hawaiian or Other Pacific Islander
1018,"Not, because we've seen diseases like this spread before and people always inflate it out of proportion.","Native Hawaiian or Other Pacific Islander, White or Caucasian"
211,No bc it's a lot of media,White or Caucasian
212,No I am not in the at risk population that is affected by severe cases of corona virus so if I did get it the virus shouldn't be any worse than a bad flu,White or Caucasian
224,No I'm immune,White or Caucasian
228,"No, it's such a low death rate, and is not as widespread as many want you to believe",White or Caucasian
234,"I am not worried about personally getting the coronavirus more than I am about getting the flu. I am young, generally healthy, and have access to medical care. I do worry about those in my life and in the world at large who do not have all of those advantages. Also I do worry about the ways this might impact my travel even though I can recognize this is much less important than mine and others' health. ",White or Caucasian
238,No really. I don't live in a very high traffic area,White or Caucasian
243,"Not that much, very low mortality ",White or Caucasian
248,No,White or Caucasian
250,No ,White or Caucasian
261,I am not worried at all. I work in a lab with little patient contact and I am much more worried about getting the flu this year. My family members had it already so I am hoping that means I have fought it off already. I also live in Michigan which is far away from most places where it is currently. ,White or Caucasian
262, ,White or Caucasian
1969,I'm alert and conscious but not super concerned yet. I'll be concerned when it becomes more prevalent in America.,White or Caucasian
1972,hmmmm I'm not sure,White or Caucasian
1975,No it is like 2% death rate,White or Caucasian
1977, ,White or Caucasian
1982,"not really. I'm scared of getting sick, and scared at how our government is going, but coronavirus is pretty low on my stressors. I already have misophonia so I'll probably just be pissed off if somebody near me has it",White or Caucasian
